0;PSantiagoSantiago;18,4896;5250565;99999999999;220;792;880;858;1518;2266;2376;2310;10362;10252;7546;17776;1870;4136;8844;11176;11352;11264;11374;11440
1;PSantiagoCordillera;18,4896;700000;220;99999999999;1012;682;726;1452;2134;2156;2222;10076;9966;7238;17556;2112;4202;8910;11242;11418;11308;11440;11484
2;PSantiagoTalagante;18,4896;217449;792;1012;99999999999;286;814;242;2068;2112;2156;8570;9460;6776;16874;1078;2904;7612;9944;10120;10010;10142;10186
3;PSantiagoMaipo;18,4896;378444;880;682;286;99999999999;528;594;2464;2508;2530;10604;10472;7766;17886;1826;3520;8228;10560;10736;10626;10758;10802
4;GSantiagoChacabuco;18,4896;267553;858;726;814;528;99999999999;748;2442;2508;2442;10252;10142;7458;17776;1628;3520;8228;10560;10714;10582;10714;10758
5;GSantiagoMelipilla;18,4896;185966;1518;1452;242;594;748;99999999999;2266;2376;2310;10362;10252;7546;17776;1870;4136;8844;11176;11358;11264;11374;11418
6;Valparaiso;32,3568;296655;2266;2134;2068;2464;2442;2266;99999999999;110;220;10164;10054;7370;17358;2310;4048;8668;11066;11418;11220;11330;11374
7;Vina;25,3576;334248;2376;2156;2112;2508;2508;2376;110;99999999999;132;10098;9988;7282;17490;2288;4048;8712;11066;11396;11242;11374;11418
8;Quilpue;25,3576;151708;2310;2222;2156;2530;2442;2310;220;132;99999999999;9900;9790;7084;17292;2222;3982;8624;10956;11286;11132;11288;11332
9;LaSerena;20,4538;221054;10362;10076;8570;10604;10252;10362;10164;10098;9900;99999999999;374;1628;5764;8316;8140;10230;12716;12870;12760;12892;12936
10;Coquimbo;20,4538;227730;10252;9966;9460;10472;10142;10252;10054;9988;9790;374;99999999999;1254;5456;8074;7920;10032;12518;12672;12584;12716;12760
11;Ovalle;20,4538;111272;7546;7238;6776;7766;7458;7546;7370;7282;7084;1628;1254;99999999999;4048;6710;5566;7744;10032;10186;10054;10230;10274
12;Copiapo;23,1547;153937;17776;17556;16874;17886;17776;17776;17358;17490;17292;5764;5456;4048;99999999999;14828;13156;12364;14696;14740;14762;14828;14828
13;Rancagua;22,4836;241774;1870;2112;1078;1826;1628;1870;2310;2288;2222;8316;8074;6710;14828;99999999999;1386;5742;8888;9724;8778;8910;8954
14;Curico;26,3986;149136;4136;4202;2904;3520;3520;4136;4048;4048;3982;8140;7920;5566;13156;1386;99999999999;3586;6732;7436;6556;6754;6798
15;Chillan;27,7325;184739;8844;8910;7612;8228;8228;8844;8668;8712;8624;10230;10032;7744;12364;5742;3586;99999999999;2024;1826;2156;2398;2442
16;Concepcion;19,9462;223574;11176;11242;9944;10560;10560;11176;11066;11066;10956;12716;12518;10032;14696;8888;6732;2024;99999999999;2332;126;110;154
17;LosAngeles;24,8391;202331;11352;11418;10120;10736;10714;11358;11418;11396;11286;12870;12672;10186;14740;9724;7436;1826;2332;99999999999;2398;2288;2332
18;Talcahuano;24,8391;151749;11264;11308;10010;10626;10582;11264;11220;11242;11132;12760;12584;10054;14762;8778;6556;2156;126;2398;99999999999;154;198
19;SanPedroDeLaPaz;24,8391;131808;11374;11440;10142;10758;10714;11374;11330;11374;11288;12892;12716;10230;14828;8910;6754;2398;110;2288;154;99999999999;44
20;Coronel;24,8391;116262;11440;11484;10186;10802;10758;11418;11374;11418;11332;12936;12760;10274;14828;8954;6798;2442;154;2332;198;44;99999999999
